superregion2,iso3,age,female,urban,edu,year,v50_type,v50_type_desc,median,country name
HIC,NLD,999.0,999,999,999,2018,3,3: Micronutrients,3.83365899664042,Netherlands
HIC,NOR,999.0,999,999,999,2018,3,3: Micronutrients,4.53141566500771,Norway
SAARC,NPL,999.0,999,999,999,2018,3,3: Micronutrients,1.15651862096682,Nepal
HIC,NZL,999.0,999,999,999,2018,3,3: Micronutrients,4.61344308882161,New Zealand
MENA,OMN,999.0,999,999,999,2018,3,3: Micronutrients,3.98849303217467,Oman
SAARC,PAK,999.0,999,999,999,2018,3,3: Micronutrients,1.98685970892899,Pakistan
LAC,PAN,999.0,999,999,999,2018,3,3: Micronutrients,3.39024778306967,Panama
LAC,PER,999.0,999,999,999,2018,3,3: Micronutrients,3.29537674747899,Peru
Asia,PHL,999.0,999,999,999,2018,3,3: Micronutrients,3.35288891863264,Philippines
Asia,PNG,999.0,999,999,999,2018,3,3: Micronutrients,2.32320009879706,Papua New Guinea
FSU,POL,999.0,999,999,999,2018,3,3: Micronutrients,3.76800176602491,Poland
HIC,PRT,999.0,999,999,999,2018,3,3: Micronutrients,3.97762100080333,Portugal
LAC,PRY,999.0,999,999,999,2018,3,3: Micronutrients,3.36285498218527,Paraguay
MENA,PSE,999.0,999,999,999,2018,3,3: Micronutrients,3.59941144476287,
MENA,QAT,999.0,999,999,999,2018,3,3: Micronutrients,4.27310589710504,Qatar
FSU,ROU,999.0,999,999,999,2018,3,3: Micronutrients,3.40676688555058,Romania
FSU,RUS,999.0,999,999,999,2018,3,3: Micronutrients,3.97040952469502,Russia
SSA,RWA,999.0,999,999,999,2018,3,3: Micronutrients,1.945752358847,Rwanda
MENA,SAU,999.0,999,999,999,2018,3,3: Micronutrients,3.93860476403466,Saudi Arabia
SSA,SDN,999.0,999,999,999,2018,3,3: Micronutrients,2.16267704941468,Sudan
SSA,SEN,999.0,999,999,999,2018,3,3: Micronutrients,2.21678232026388,Senegal
Asia,SGP,999.0,999,999,999,2018,3,3: Micronutrients,3.41074164229179,Singapore
Asia,SLB,999.0,999,999,999,2018,3,3: Micronutrients,3.13050968911749,Solomon Islands
SSA,SLE,999.0,999,999,999,2018,3,3: Micronutrients,2.10678696377173,Sierra Leone
LAC,SLV,999.0,999,999,999,2018,3,3: Micronutrients,3.17909867183873,El Salvador
FSU,SRB,999.0,999,999,999,2018,3,3: Micronutrients,3.84020293013067,Serbia
SSA,SSD,999.0,999,999,999,2018,3,3: Micronutrients,2.09179971757588,South Sudan
SSA,STP,999.0,999,999,999,2018,3,3: Micronutrients,2.31622636804164,Sao Tome and Principe
LAC,SUR,999.0,999,999,999,2018,3,3: Micronutrients,3.28669803071934,Suriname
FSU,SVK,999.0,999,999,999,2018,3,3: Micronutrients,3.84368544248763,Slovakia
