superregion2,iso3,age,female,urban,edu,year,varnum,v05_type,v05_type_desc,Median,serving,country name
Asia,THA,999.0,999,999,999,2018,5,1,1: Foods & Beverages,41.9394825548003,0.43028092,Thailand
FSU,TJK,999.0,999,999,999,2018,5,1,1: Foods & Beverages,58.2362914056156,0.62579298,Tajikistan
FSU,TKM,999.0,999,999,999,2018,5,1,1: Foods & Beverages,32.8415593419402,0.34808224,Turkmenistan
Asia,TLS,999.0,999,999,999,2018,5,1,1: Foods & Beverages,8.650664301121,0.092362419,Timor-Leste
Asia,TON,999.0,999,999,999,2018,5,1,1: Foods & Beverages,39.1943079149561,0.41550204,Tonga
LAC,TTO,999.0,999,999,999,2018,5,1,1: Foods & Beverages,37.6137541785099,0.38837123,Trinidad and Tobago
MENA,TUN,999.0,999,999,999,2018,5,1,1: Foods & Beverages,15.1790986756352,0.158545,Tunisia
MENA,TUR,999.0,999,999,999,2018,5,1,1: Foods & Beverages,31.3073045735123,0.32577839,Turkey
SSA,TZA,999.0,999,999,999,2018,5,1,1: Foods & Beverages,33.9355606749532,0.36830434,Tanzania
SSA,UGA,999.0,999,999,999,2018,5,1,1: Foods & Beverages,45.19629942163,0.49330166,Uganda
FSU,UKR,999.0,999,999,999,2018,5,1,1: Foods & Beverages,8.8632676220827,0.090830781,Ukraine
LAC,URY,999.0,999,999,999,2018,5,1,1: Foods & Beverages,44.9620850130797,0.46496469,Uruguay
HIC,USA,999.0,999,999,999,2018,5,1,1: Foods & Beverages,19.458545678722,0.20025261,United States
FSU,UZB,999.0,999,999,999,2018,5,1,1: Foods & Beverages,33.4261261509746,0.35181692,Uzbekistan
LAC,VCT,999.0,999,999,999,2018,5,1,1: Foods & Beverages,46.3209982011611,0.4797121,Saint Vincent and the Grenadines
LAC,VEN,999.0,999,999,999,2018,5,1,1: Foods & Beverages,39.541156864223,0.41270387,Venezuela
Asia,VNM,999.0,999,999,999,2018,5,1,1: Foods & Beverages,99.4861929967289,1.0351285,Vietnam
Asia,VUT,999.0,999,999,999,2018,5,1,1: Foods & Beverages,67.3091439202074,0.72026908,Vanuatu
Asia,WSM,999.0,999,999,999,2018,5,1,1: Foods & Beverages,231.055331376337,2.4778051,Samoa
MENA,YEM,999.0,999,999,999,2018,5,1,1: Foods & Beverages,28.8889277097284,0.3100003,Yemen
SSA,ZAF,999.0,999,999,999,2018,5,1,1: Foods & Beverages,32.2583357757224,0.3387413,South Africa
SSA,ZMB,999.0,999,999,999,2018,5,1,1: Foods & Beverages,20.5860867042074,0.22342183,Zambia
SSA,ZWE,999.0,999,999,999,2018,5,1,1: Foods & Beverages,18.917247737567,0.20391558,Zimbabwe
