Region,iso3,age,female,urban,edu,year,varnum,v22_type,v22_type_desc,Median,country name
FSU,KAZ,999.0,999,999,999,2018,22,2,2: Macronutrients,48.4638267962747,Kazakhstan
SSA,KEN,999.0,999,999,999,2018,22,2,2: Macronutrients,63.7967385065832,Kenya
FSU,KGZ,999.0,999,999,999,2018,22,2,2: Macronutrients,51.5076853985431,Kyrgyzstan
Asia,KHM,999.0,999,999,999,2018,22,2,2: Macronutrients,59.7563088252235,Cambodia
Asia,KIR,999.0,999,999,999,2018,22,2,2: Macronutrients,57.884072937566,Kiribati
Asia,KOR,999.0,999,999,999,2018,22,2,2: Macronutrients,62.1905362912313,South Korea
MENA,KWT,999.0,999,999,999,2018,22,2,2: Macronutrients,53.0592567563008,Kuwait
Asia,LAO,999.0,999,999,999,2018,22,2,2: Macronutrients,69.3499398703599,Laos
MENA,LBN,999.0,999,999,999,2018,22,2,2: Macronutrients,43.0762320324999,Lebanon
SSA,LBR,999.0,999,999,999,2018,22,2,2: Macronutrients,59.4835776246903,Liberia
MENA,LBY,999.0,999,999,999,2018,22,2,2: Macronutrients,54.5454091309602,Libya
LAC,LCA,999.0,999,999,999,2018,22,2,2: Macronutrients,57.9257912697345,Saint Lucia
SAARC,LKA,999.0,999,999,999,2018,22,2,2: Macronutrients,68.7045821269192,Sri Lanka
SSA,LSO,999.0,999,999,999,2018,22,2,2: Macronutrients,59.5395305202055,Lesotho
FSU,LTU,999.0,999,999,999,2018,22,2,2: Macronutrients,47.0944812213622,Lithuania
HIC,LUX,999.0,999,999,999,2018,22,2,2: Macronutrients,48.3709709862265,Luxembourg
FSU,LVA,999.0,999,999,999,2018,22,2,2: Macronutrients,47.2323137536445,Latvia
MENA,MAR,999.0,999,999,999,2018,22,2,2: Macronutrients,55.8334133203741,Morocco
FSU,MDA,999.0,999,999,999,2018,22,2,2: Macronutrients,49.8563350153929,Moldova
SSA,MDG,999.0,999,999,999,2018,22,2,2: Macronutrients,65.0899780442175,Madagascar
SAARC,MDV,999.0,999,999,999,2018,22,2,2: Macronutrients,67.1223245825682,Maldives
LAC,MEX,999.0,999,999,999,2018,22,2,2: Macronutrients,56.6951366235401,Mexico
Asia,MHL,999.0,999,999,999,2018,22,2,2: Macronutrients,58.1482040079039,Marshall Islands
FSU,MKD,999.0,999,999,999,2018,22,2,2: Macronutrients,49.3013000881659,Macedonia
SSA,MLI,999.0,999,999,999,2018,22,2,2: Macronutrients,62.5258741393648,Mali
HIC,MLT,999.0,999,999,999,2018,22,2,2: Macronutrients,49.2357062864392,Malta
Asia,MMR,999.0,999,999,999,2018,22,2,2: Macronutrients,59.8686703380162,Myanmar
FSU,MNE,999.0,999,999,999,2018,22,2,2: Macronutrients,48.8982173473924,Montenegro
FSU,MNG,999.0,999,999,999,2018,22,2,2: Macronutrients,49.0891036956529,Mongolia
SSA,MOZ,999.0,999,999,999,2018,22,2,2: Macronutrients,61.6452285140371,Mozambique
SSA,MRT,999.0,999,999,999,2018,22,2,2: Macronutrients,60.3282006621631,Mauritania
SSA,MUS,999.0,999,999,999,2018,22,2,2: Macronutrients,57.4132687689118,Mauritius
SSA,MWI,999.0,999,999,999,2018,22,2,2: Macronutrients,64.096704506452,Malawi
Asia,MYS,999.0,999,999,999,2018,22,2,2: Macronutrients,55.5888221787523,Malaysia
SSA,NAM,999.0,999,999,999,2018,22,2,2: Macronutrients,57.9130200707209,Namibia
SSA,NER,999.0,999,999,999,2018,22,2,2: Macronutrients,62.8323826723543,Niger
SSA,NGA,999.0,999,999,999,2018,22,2,2: Macronutrients,61.9257770306692,Nigeria
LAC,NIC,999.0,999,999,999,2018,22,2,2: Macronutrients,59.4334088567868,Nicaragua
HIC,NLD,999.0,999,999,999,2018,22,2,2: Macronutrients,45.8157668429022,Netherlands
HIC,NOR,999.0,999,999,999,2018,22,2,2: Macronutrients,47.8517707807197,Norway
SAARC,NPL,999.0,999,999,999,2018,22,2,2: Macronutrients,77.5765411585616,Nepal
HIC,NZL,999.0,999,999,999,2018,22,2,2: Macronutrients,47.2691973651361,New Zealand
MENA,OMN,999.0,999,999,999,2018,22,2,2: Macronutrients,54.2147380458991,Oman
SAARC,PAK,999.0,999,999,999,2018,22,2,2: Macronutrients,67.7845122642176,Pakistan
LAC,PAN,999.0,999,999,999,2018,22,2,2: Macronutrients,56.2517146839744,Panama
LAC,PER,999.0,999,999,999,2018,22,2,2: Macronutrients,58.2004384806294,Peru
Asia,PHL,999.0,999,999,999,2018,22,2,2: Macronutrients,63.8751468264775,Philippines
Asia,PNG,999.0,999,999,999,2018,22,2,2: Macronutrients,59.4745519131604,Papua New Guinea
FSU,POL,999.0,999,999,999,2018,22,2,2: Macronutrients,50.3395342520988,Poland
HIC,PRT,999.0,999,999,999,2018,22,2,2: Macronutrients,47.8055621109018,Portugal
LAC,PRY,999.0,999,999,999,2018,22,2,2: Macronutrients,55.714902106503,Paraguay
MENA,QAT,999.0,999,999,999,2018,22,2,2: Macronutrients,53.778559414641,Qatar
FSU,ROU,999.0,999,999,999,2018,22,2,2: Macronutrients,41.6318371420651,Romania
FSU,RUS,999.0,999,999,999,2018,22,2,2: Macronutrients,49.0703855983801,Russia
SSA,RWA,999.0,999,999,999,2018,22,2,2: Macronutrients,64.0101428041842,Rwanda
MENA,SAU,999.0,999,999,999,2018,22,2,2: Macronutrients,54.1931189333088,Saudi Arabia
SSA,SDN,999.0,999,999,999,2018,22,2,2: Macronutrients,60.5608406859098,Sudan
SSA,SEN,999.0,999,999,999,2018,22,2,2: Macronutrients,60.7349238236298,Senegal
Asia,SGP,999.0,999,999,999,2018,22,2,2: Macronutrients,59.0768667982679,Singapore
Asia,SLB,999.0,999,999,999,2018,22,2,2: Macronutrients,58.0413962986311,Solomon Islands
SSA,SLE,999.0,999,999,999,2018,22,2,2: Macronutrients,60.0291302983233,Sierra Leone
LAC,SLV,999.0,999,999,999,2018,22,2,2: Macronutrients,59.4819633222985,El Salvador
FSU,SRB,999.0,999,999,999,2018,22,2,2: Macronutrients,49.839197291245,Serbia
SSA,SSD,999.0,999,999,999,2018,22,2,2: Macronutrients,62.2099319103345,South Sudan
SSA,STP,999.0,999,999,999,2018,22,2,2: Macronutrients,58.8682415921525,Sao Tome and Principe
LAC,SUR,999.0,999,999,999,2018,22,2,2: Macronutrients,57.7214668429986,Suriname
FSU,SVK,999.0,999,999,999,2018,22,2,2: Macronutrients,48.1917749501802,Slovakia
FSU,SVN,999.0,999,999,999,2018,22,2,2: Macronutrients,47.4363953530195,Slovenia
HIC,SWE,999.0,999,999,999,2018,22,2,2: Macronutrients,44.8346819941953,Sweden
SSA,SWZ,999.0,999,999,999,2018,22,2,2: Macronutrients,61.5954749199736,Eswatini
SSA,SYC,999.0,999,999,999,2018,22,2,2: Macronutrients,58.5461915386544,Seychelles
MENA,SYR,999.0,999,999,999,2018,22,2,2: Macronutrients,51.780585882117,Syria
SSA,TCD,999.0,999,999,999,2018,22,2,2: Macronutrients,61.1250209176856,Chad
SSA,TGO,999.0,999,999,999,2018,22,2,2: Macronutrients,59.6743665915738,Togo
Asia,THA,999.0,999,999,999,2018,22,2,2: Macronutrients,59.1215941279379,Thailand
FSU,TJK,999.0,999,999,999,2018,22,2,2: Macronutrients,53.1657729353823,Tajikistan
FSU,TKM,999.0,999,999,999,2018,22,2,2: Macronutrients,50.0278327417982,Turkmenistan
Asia,TLS,999.0,999,999,999,2018,22,2,2: Macronutrients,58.6265517463667,Timor-Leste
Asia,TON,999.0,999,999,999,2018,22,2,2: Macronutrients,58.1163878976196,Tonga
LAC,TTO,999.0,999,999,999,2018,22,2,2: Macronutrients,56.997768989788,Trinidad and Tobago
MENA,TUN,999.0,999,999,999,2018,22,2,2: Macronutrients,49.0921107157882,Tunisia
MENA,TUR,999.0,999,999,999,2018,22,2,2: Macronutrients,50.6788703403002,Turkey
SSA,TZA,999.0,999,999,999,2018,22,2,2: Macronutrients,60.9308139071387,Tanzania
SSA,UGA,999.0,999,999,999,2018,22,2,2: Macronutrients,61.1112990769006,Uganda
FSU,UKR,999.0,999,999,999,2018,22,2,2: Macronutrients,49.4063909265619,Ukraine
LAC,URY,999.0,999,999,999,2018,22,2,2: Macronutrients,55.3892886816478,Uruguay
HIC,USA,999.0,999,999,999,2018,22,2,2: Macronutrients,50.2052274829825,United States
FSU,UZB,999.0,999,999,999,2018,22,2,2: Macronutrients,51.2030230423525,Uzbekistan
LAC,VCT,999.0,999,999,999,2018,22,2,2: Macronutrients,56.8340326264017,Saint Vincent and the Grenadines
LAC,VEN,999.0,999,999,999,2018,22,2,2: Macronutrients,61.6669723020428,Venezuela
Asia,VNM,999.0,999,999,999,2018,22,2,2: Macronutrients,63.2935163594539,Vietnam
Asia,VUT,999.0,999,999,999,2018,22,2,2: Macronutrients,58.1274139688857,Vanuatu
Asia,WSM,999.0,999,999,999,2018,22,2,2: Macronutrients,58.415538197783,Samoa
MENA,YEM,999.0,999,999,999,2018,22,2,2: Macronutrients,58.1995039425357,Yemen
SSA,ZAF,999.0,999,999,999,2018,22,2,2: Macronutrients,56.7162007956053,South Africa
SSA,ZMB,999.0,999,999,999,2018,22,2,2: Macronutrients,60.0658388643162,Zambia
SSA,ZWE,999.0,999,999,999,2018,22,2,2: Macronutrients,60.9051598893142,Zimbabwe
