Region,iso3,age,female,urban,edu,year,varnum,v37_type,v37_type_desc,Median,country name
SSA,SSD,999.0,999,999,999,2018,37,3,3: Micronutrients,1954.11560222927,South Sudan
SSA,STP,999.0,999,999,999,2018,37,3,3: Micronutrients,2115.20943567695,Sao Tome and Principe
LAC,SUR,999.0,999,999,999,2018,37,3,3: Micronutrients,2284.26881957911,Suriname
FSU,SVK,999.0,999,999,999,2018,37,3,3: Micronutrients,2872.36191315297,Slovakia
FSU,SVN,999.0,999,999,999,2018,37,3,3: Micronutrients,2791.31860452117,Slovenia
HIC,SWE,999.0,999,999,999,2018,37,3,3: Micronutrients,2851.46495812276,Sweden
SSA,SWZ,999.0,999,999,999,2018,37,3,3: Micronutrients,1832.68847995869,Eswatini
SSA,SYC,999.0,999,999,999,2018,37,3,3: Micronutrients,1972.53985198887,Seychelles
MENA,SYR,999.0,999,999,999,2018,37,3,3: Micronutrients,3355.59265236236,Syria
SSA,TCD,999.0,999,999,999,2018,37,3,3: Micronutrients,2111.63870676623,Chad
SSA,TGO,999.0,999,999,999,2018,37,3,3: Micronutrients,2146.74852475708,Togo
Asia,THA,999.0,999,999,999,2018,37,3,3: Micronutrients,4024.33206870577,Thailand
FSU,TJK,999.0,999,999,999,2018,37,3,3: Micronutrients,2412.82541629571,Tajikistan
FSU,TKM,999.0,999,999,999,2018,37,3,3: Micronutrients,2734.10970007929,Turkmenistan
Asia,TLS,999.0,999,999,999,2018,37,3,3: Micronutrients,2639.08683330723,Timor-Leste
Asia,TON,999.0,999,999,999,2018,37,3,3: Micronutrients,2689.05949969927,Tonga
LAC,TTO,999.0,999,999,999,2018,37,3,3: Micronutrients,1782.0556230291,Trinidad and Tobago
MENA,TUN,999.0,999,999,999,2018,37,3,3: Micronutrients,2475.79212682129,Tunisia
MENA,TUR,999.0,999,999,999,2018,37,3,3: Micronutrients,2651.27800472494,Turkey
SSA,TZA,999.0,999,999,999,2018,37,3,3: Micronutrients,2357.17081309546,Tanzania
SSA,UGA,999.0,999,999,999,2018,37,3,3: Micronutrients,1534.37492203015,Uganda
FSU,UKR,999.0,999,999,999,2018,37,3,3: Micronutrients,2810.32852980648,Ukraine
LAC,URY,999.0,999,999,999,2018,37,3,3: Micronutrients,2830.91010932588,Uruguay
HIC,USA,999.0,999,999,999,2018,37,3,3: Micronutrients,3038.28539525579,United States
FSU,UZB,999.0,999,999,999,2018,37,3,3: Micronutrients,2752.22803396425,Uzbekistan
LAC,VCT,999.0,999,999,999,2018,37,3,3: Micronutrients,2304.6445130946,Saint Vincent and the Grenadines
LAC,VEN,999.0,999,999,999,2018,37,3,3: Micronutrients,2508.26501812742,Venezuela
Asia,VNM,999.0,999,999,999,2018,37,3,3: Micronutrients,1495.00491408891,Vietnam
Asia,VUT,999.0,999,999,999,2018,37,3,3: Micronutrients,2657.33700288512,Vanuatu
Asia,WSM,999.0,999,999,999,2018,37,3,3: Micronutrients,1013.2852757427,Samoa
MENA,YEM,999.0,999,999,999,2018,37,3,3: Micronutrients,2481.22205897925,Yemen
SSA,ZAF,999.0,999,999,999,2018,37,3,3: Micronutrients,1526.43326244707,South Africa
SSA,ZMB,999.0,999,999,999,2018,37,3,3: Micronutrients,2131.56408115358,Zambia
SSA,ZWE,999.0,999,999,999,2018,37,3,3: Micronutrients,1886.41932175866,Zimbabwe
