superregion2,iso3,age,female,urban,edu,year,varnum,v01_type,v01_type_desc,median,upperci_95,lowerci_95,serving,s_lowerci_95,s_upperci_95
SSA,GIN,999.0,999,999,999,2018,1,1,1: Foods & Beverages,22.0132637346535,26.5879101446719,18.1100594105022,0.23036066,0.18951507,0.27823263
SSA,GMB,999.0,999,999,999,2018,1,1,1: Foods & Beverages,30.7245107906109,39.2722988336685,24.0356994121306,0.3223978,0.25221089,0.41209126
SSA,GNB,999.0,999,999,999,2018,1,1,1: Foods & Beverages,67.6474543330355,78.2404553413931,58.6414152406549,0.70716548,0.61301917,0.81790143
SSA,GNQ,999.0,999,999,999,2018,1,1,1: Foods & Beverages,91.0326262252991,105.12207679468,78.7796382959644,0.94796032,0.82036489,1.0946796
HIC,GRC,999.0,999,999,999,2018,1,1,1: Foods & Beverages,77.0448112472848,88.5662261391273,66.9879896133645,0.77909607,0.67739904,0.89560348
LAC,GRD,999.0,999,999,999,2018,1,1,1: Foods & Beverages,121.463786793676,175.733568483431,84.3704057965905,1.242088,0.86277127,1.7970505
LAC,GTM,999.0,999,999,999,2018,1,1,1: Foods & Beverages,75.6263281327174,83.3463663410424,68.527398423411,0.78158665,0.7082203,0.86137211
LAC,GUY,999.0,999,999,999,2018,1,1,1: Foods & Beverages,202.809923301109,237.103415604905,173.782349410223,2.0833068,1.7851294,2.4355769
LAC,HND,999.0,999,999,999,2018,1,1,1: Foods & Beverages,88.8317808724018,100.624339683429,78.9260614583824,0.91437757,0.81241441,1.0357627
FSU,HRV,999.0,999,999,999,2018,1,1,1: Foods & Beverages,59.5489670738657,68.9037719356205,51.4476078677174,0.60296643,0.52093565,0.69768906
LAC,HTI,999.0,999,999,999,2018,1,1,1: Foods & Beverages,69.9661382372416,78.9144401277695,61.9727868652115,0.72211927,0.63962007,0.81447458
FSU,HUN,999.0,999,999,999,2018,1,1,1: Foods & Beverages,59.9620799813876,67.7556055511531,52.9831507078168,0.60727245,0.5365926,0.68620223
Asia,IDN,999.0,999,999,999,2018,1,1,1: Foods & Beverages,67.0369763617495,72.5091780211128,61.9519097741023,0.68741775,0.63527393,0.74353141
SAARC,IND,999.0,999,999,999,2018,1,1,1: Foods & Beverages,35.7867372999914,38.3184509525432,33.3348788774056,0.36647964,0.341371,0.39240605
HIC,IRL,999.0,999,999,999,2018,1,1,1: Foods & Beverages,78.4156773523174,94.5259068919474,64.7183164322817,0.7990185,0.65944892,0.9631741
MENA,IRN,999.0,999,999,999,2018,1,1,1: Foods & Beverages,168.590467619044,179.690898693247,158.196520772997,1.7287785,1.6221957,1.8426057
MENA,IRQ,999.0,999,999,999,2018,1,1,1: Foods & Beverages,102.931618452849,148.242722053765,71.082844311643,1.070309,0.73913741,1.5414654
HIC,ISL,999.0,999,999,999,2018,1,1,1: Foods & Beverages,76.0812955646829,87.3241165528863,66.3537572776168,0.77397043,0.67501277,0.88834298
MENA,ISR,999.0,999,999,999,2018,1,1,1: Foods & Beverages,133.917249157938,149.35184906604,120.409808134337,1.3770411,1.2381471,1.5357517
HIC,ITA,999.0,999,999,999,2018,1,1,1: Foods & Beverages,199.418173410848,217.525310718972,183.009231471294,2.0163617,1.8504472,2.1994469
LAC,JAM,999.0,999,999,999,2018,1,1,1: Foods & Beverages,176.66755802495,225.932265646504,137.796832144416,1.8062321,1.4088216,2.3099098
MENA,JOR,999.0,999,999,999,2018,1,1,1: Foods & Beverages,171.14689279419,189.655286337282,154.023847954834,1.765311,1.5886937,1.9562175
Asia,JPN,999.0,999,999,999,2018,1,1,1: Foods & Beverages,108.928436343983,112.526538464072,105.558469389044,1.1011771,1.0671095,1.137551
FSU,KAZ,999.0,999,999,999,2018,1,1,1: Foods & Beverages,59.1080662269848,68.7767583125313,50.5873452233619,0.60885936,0.52108926,0.70845443
SSA,KEN,999.0,999,999,999,2018,1,1,1: Foods & Beverages,104.995432349102,114.992532281748,95.4309839244977,1.0904084,0.99107885,1.1942313
FSU,KGZ,999.0,999,999,999,2018,1,1,1: Foods & Beverages,74.8592462210999,89.9453683541905,62.2701273715252,0.77502072,0.64468503,0.9312079
Asia,KHM,999.0,999,999,999,2018,1,1,1: Foods & Beverages,48.9507686778056,54.6452473464972,43.8080970721485,0.50454307,0.45153677,0.56323695
Asia,KIR,999.0,999,999,999,2018,1,1,1: Foods & Beverages,97.9704536261619,145.276014942651,66.0621939449163,1.0146071,0.68415695,1.5045155
Asia,KOR,999.0,999,999,999,2018,1,1,1: Foods & Beverages,96.41854400144672,101.336607201399,91.6353269034115,0.97490942,0.92654526,1.0246371
MENA,KWT,999.0,999,999,999,2018,1,1,1: Foods & Beverages,56.9351568333892,66.9369182183269,48.3404644992059,0.5809117,0.4932197,0.68296009
Asia,LAO,999.0,999,999,999,2018,1,1,1: Foods & Beverages,119.110106243644,133.800098800594,106.343938722388,1.2284458,1.0967816,1.3799515
MENA,LBN,999.0,999,999,999,2018,1,1,1: Foods & Beverages,227.286417190404,258.362924112656,199.436569351229,2.3299477,2.0444548,2.6485178
SSA,LBR,999.0,999,999,999,2018,1,1,1: Foods & Beverages,49.5787822154519,58.9356053232731,41.2322233400338,0.5168764,0.42986056,0.61442459
MENA,LBY,999.0,999,999,999,2018,1,1,1: Foods & Beverages,52.7159931552302,66.4521742475192,41.5359656161127,0.54134315,0.42653489,0.68240064
LAC,LCA,999.0,999,999,999,2018,1,1,1: Foods & Beverages,76.600620940426,110.479436310453,53.3091145663417,0.77893656,0.54208988,1.1234436
SAARC,LKA,999.0,999,999,999,2018,1,1,1: Foods & Beverages,79.2424606131538,88.3055781832705,71.2329899293823,0.81000161,0.72813034,0.90264314
SSA,LSO,999.0,999,999,999,2018,1,1,1: Foods & Beverages,68.9087941750842,79.5920576126577,59.64428950399,0.71230924,0.61654216,0.82274199
FSU,LTU,999.0,999,999,999,2018,1,1,1: Foods & Beverages,69.3615884361205,80.8274167341287,59.6588007646151,0.70382124,0.60536581,0.82016653
HIC,LUX,999.0,999,999,999,2018,1,1,1: Foods & Beverages,85.9342167527551,111.698277549664,65.6231761214619,0.87225151,0.66608989,1.1337625
FSU,LVA,999.0,999,999,999,2018,1,1,1: Foods & Beverages,59.1010946540155,66.6431647272798,52.8213118264229,0.60013294,0.53636587,0.67671776
MENA,MAR,999.0,999,999,999,2018,1,1,1: Foods & Beverages,96.2300314447279,117.57318322726,79.5890720062647,0.987988,0.81713623,1.2071168
FSU,MDA,999.0,999,999,999,2018,1,1,1: Foods & Beverages,98.3100921953065,171.229638761796,56.856592099061,0.99716091,0.57669735,1.7367852
SSA,MDG,999.0,999,999,999,2018,1,1,1: Foods & Beverages,89.635106448813,99.8076876469971,80.8499148044743,0.93447775,0.84288901,1.0405306
SAARC,MDV,999.0,999,999,999,2018,1,1,1: Foods & Beverages,230.446137055695,270.649406751364,195.37063765635,2.350292,1.9925612,2.7603202
LAC,MEX,999.0,999,999,999,2018,1,1,1: Foods & Beverages,149.842305797841,161.058115596715,139.009853122122,1.5354269,1.4244273,1.6503547
Asia,MHL,999.0,999,999,999,2018,1,1,1: Foods & Beverages,112.436181570165,132.575611858558,95.2014433978535,1.1555619,0.97843206,1.3625448
FSU,MKD,999.0,999,999,999,2018,1,1,1: Foods & Beverages,91.9394566183511,111.547537609497,75.1687325015075,0.93358505,0.76328927,1.1326922
SSA,MLI,999.0,999,999,999,2018,1,1,1: Foods & Beverages,70.0196459617647,78.3915347067665,62.5283063525182,0.73658371,0.65777725,0.82465321
