Region,iso3,age,female,urban,edu,year,varnum,v34_type,v34_type_desc,Median,country name
FSU,MNG,999.0,999,999,999,2018,34,2,2: Macronutrients,22.649168145251,Mongolia
SSA,MOZ,999.0,999,999,999,2018,34,2,2: Macronutrients,31.9505601712529,Mozambique
SSA,MRT,999.0,999,999,999,2018,34,2,2: Macronutrients,49.5816393779116,Mauritania
SSA,MUS,999.0,999,999,999,2018,34,2,2: Macronutrients,54.697059736296,Mauritius
SSA,MWI,999.0,999,999,999,2018,34,2,2: Macronutrients,18.1036423361685,Malawi
Asia,MYS,999.0,999,999,999,2018,34,2,2: Macronutrients,21.6360640077266,Malaysia
SSA,NAM,999.0,999,999,999,2018,34,2,2: Macronutrients,37.1633967973821,Namibia
SSA,NER,999.0,999,999,999,2018,34,2,2: Macronutrients,28.5744067029733,Niger
SSA,NGA,999.0,999,999,999,2018,34,2,2: Macronutrients,17.219664609343,Nigeria
LAC,NIC,999.0,999,999,999,2018,34,2,2: Macronutrients,10.9616697257045,Nicaragua
HIC,NLD,999.0,999,999,999,2018,34,2,2: Macronutrients,12.9193945570838,Netherlands
HIC,NOR,999.0,999,999,999,2018,34,2,2: Macronutrients,16.9410818094508,Norway
SAARC,NPL,999.0,999,999,999,2018,34,2,2: Macronutrients,48.9444916343473,Nepal
HIC,NZL,999.0,999,999,999,2018,34,2,2: Macronutrients,18.2731936686476,New Zealand
MENA,OMN,999.0,999,999,999,2018,34,2,2: Macronutrients,31.6766852440465,Oman
SAARC,PAK,999.0,999,999,999,2018,34,2,2: Macronutrients,16.2552204003475,Pakistan
LAC,PAN,999.0,999,999,999,2018,34,2,2: Macronutrients,16.3327478075534,Panama
LAC,PER,999.0,999,999,999,2018,34,2,2: Macronutrients,11.0291970179471,Peru
Asia,PHL,999.0,999,999,999,2018,34,2,2: Macronutrients,7.87898220371514,Philippines
Asia,PNG,999.0,999,999,999,2018,34,2,2: Macronutrients,3.49659568897545,Papua New Guinea
FSU,POL,999.0,999,999,999,2018,34,2,2: Macronutrients,14.7469188042736,Poland
HIC,PRT,999.0,999,999,999,2018,34,2,2: Macronutrients,16.6961143521522,Portugal
LAC,PRY,999.0,999,999,999,2018,34,2,2: Macronutrients,11.2277788963887,Paraguay
MENA,QAT,999.0,999,999,999,2018,34,2,2: Macronutrients,19.3341945958203,Qatar
FSU,ROU,999.0,999,999,999,2018,34,2,2: Macronutrients,21.5734008686392,Romania
FSU,RUS,999.0,999,999,999,2018,34,2,2: Macronutrients,22.3114577730286,Russia
SSA,RWA,999.0,999,999,999,2018,34,2,2: Macronutrients,11.6772232829683,Rwanda
MENA,SAU,999.0,999,999,999,2018,34,2,2: Macronutrients,34.4527987140588,Saudi Arabia
SSA,SDN,999.0,999,999,999,2018,34,2,2: Macronutrients,46.2349691560789,Sudan
SSA,SEN,999.0,999,999,999,2018,34,2,2: Macronutrients,41.9285029455419,Senegal
Asia,SGP,999.0,999,999,999,2018,34,2,2: Macronutrients,20.1507816354326,Singapore
Asia,SLB,999.0,999,999,999,2018,34,2,2: Macronutrients,3.52964381121558,Solomon Islands
SSA,SLE,999.0,999,999,999,2018,34,2,2: Macronutrients,21.6164291473365,Sierra Leone
LAC,SLV,999.0,999,999,999,2018,34,2,2: Macronutrients,11.8662971019264,El Salvador
FSU,SRB,999.0,999,999,999,2018,34,2,2: Macronutrients,35.7287214760207,Serbia
SSA,SSD,999.0,999,999,999,2018,34,2,2: Macronutrients,31.3792509871307,South Sudan
SSA,STP,999.0,999,999,999,2018,34,2,2: Macronutrients,32.4072999410414,Sao Tome and Principe
LAC,SUR,999.0,999,999,999,2018,34,2,2: Macronutrients,12.5320826319175,Suriname
FSU,SVK,999.0,999,999,999,2018,34,2,2: Macronutrients,28.7833969912205,Slovakia
FSU,SVN,999.0,999,999,999,2018,34,2,2: Macronutrients,20.9370125726965,Slovenia
HIC,SWE,999.0,999,999,999,2018,34,2,2: Macronutrients,20.7709076251845,Sweden
SSA,SWZ,999.0,999,999,999,2018,34,2,2: Macronutrients,43.7761603900616,Eswatini
SSA,SYC,999.0,999,999,999,2018,34,2,2: Macronutrients,23.7161989629862,Seychelles
MENA,SYR,999.0,999,999,999,2018,34,2,2: Macronutrients,33.6798532496025,Syria
SSA,TCD,999.0,999,999,999,2018,34,2,2: Macronutrients,15.0170634473733,Chad
