Region,iso3,age,female,urban,edu,year,varnum,v06_type,v06_type_desc,Median,serving,country name
LAC,TTO,999.0,999,999,999,2018,6,1,1: Foods & Beverages,9.454368352695568,0.33478642,Trinidad and Tobago
MENA,TUN,999.0,999,999,999,2018,6,1,1: Foods & Beverages,6.51878262843339,0.2311625,Tunisia
MENA,TUR,999.0,999,999,999,2018,6,1,1: Foods & Beverages,11.1242179989039,0.39433599,Turkey
SSA,TZA,999.0,999,999,999,2018,6,1,1: Foods & Beverages,16.3941774572634,0.58404624,Tanzania
SSA,UGA,999.0,999,999,999,2018,6,1,1: Foods & Beverages,7.74696900562855,0.27608585,Uganda
FSU,UKR,999.0,999,999,999,2018,6,1,1: Foods & Beverages,12.8368877530727,0.45408162,Ukraine
LAC,URY,999.0,999,999,999,2018,6,1,1: Foods & Beverages,25.5151672185076,0.90383166,Uruguay
HIC,USA,999.0,999,999,999,2018,6,1,1: Foods & Beverages,11.4542732922291,0.40546101,United States
FSU,UZB,999.0,999,999,999,2018,6,1,1: Foods & Beverages,3.22584297768618,0.11447278,Uzbekistan
LAC,VCT,999.0,999,999,999,2018,6,1,1: Foods & Beverages,6.19620070784807,0.21948993,Saint Vincent and the Grenadines
LAC,VEN,999.0,999,999,999,2018,6,1,1: Foods & Beverages,0.807790322366979,0.028645046,Venezuela
Asia,VNM,999.0,999,999,999,2018,6,1,1: Foods & Beverages,21.1003879021317,0.74797547,Vietnam
Asia,VUT,999.0,999,999,999,2018,6,1,1: Foods & Beverages,3.91566526721276,0.1392484,Vanuatu
Asia,WSM,999.0,999,999,999,2018,6,1,1: Foods & Beverages,26.0750913895914,0.92760909,Samoa
MENA,YEM,999.0,999,999,999,2018,6,1,1: Foods & Beverages,3.39289920207832,0.12070078,Yemen
SSA,ZAF,999.0,999,999,999,2018,6,1,1: Foods & Beverages,0.226812749768307,0.0080487132,South Africa
SSA,ZMB,999.0,999,999,999,2018,6,1,1: Foods & Beverages,19.6664073491941,0.70062017,Zambia
SSA,ZWE,999.0,999,999,999,2018,6,1,1: Foods & Beverages,3.12672727664943,0.11127143,Zimbabwe
